Frequency(Hz)	ApparentResistivity(Ohm.m)	Phase(deg)
1.000000000000000021e-03 1.113969144288347835e+01 4.424286741435592774e+01
1.340518238791474186e-03 1.053976197693944883e+01 4.593680711273970019e+01
1.796989148532593915e-03 1.150997598292124913e+01 4.802413589169910324e+01
2.408896728518303623e-03 1.268109036361114228e+01 5.001595267132472600e+01
3.229169999943896831e-03 1.082936470706063226e+01 4.639225942132839720e+01
4.328761281083057418e-03 1.099995565320275759e+01 4.765277678673971451e+01
5.802783448666185527e-03 1.339139347254856283e+01 4.572130898508417118e+01
7.778737048694302908e-03 1.268135107927245109e+01 4.588600451622011889e+01
1.042753888853767755e-02 1.147958170453741111e+01 5.215825972631073881e+01
1.397830606579212459e-02 1.310326695544885034e+01 5.421921307199112050e+01
1.873817422860383011e-02 1.219556537152343623e+01 5.097466162376927912e+01
2.511886431509579437e-02 1.269690018515183105e+01 5.495284925421970712e+01
3.367229575211420911e-02 1.420656607360268708e+01 5.394696289580403459e+01
4.513832659768975131e-02 1.193266071875821410e+01 5.187864904229564189e+01
6.050875007272941974e-02 1.288345884771028338e+01 5.613741523936456446e+01
8.111308307896868131e-02 1.563930302775093217e+01 6.069225773206505892e+01
1.087335672719655644e-01 1.595664251737851025e+01 5.729520301759212231e+01
1.457593300969295680e-01 1.995482701553568461e+01 6.310093582909883025e+01
1.953930404689609157e-01 1.958347391687531669e+01 5.221552097076769172e+01
2.619279344815627075e-01 2.023928433383799685e+01 6.390591652054349936e+01
3.511191734215127203e-01 3.019813749180202578e+01 6.293283964954335374e+01
4.706816559609244277e-01 2.905656335316366423e+01 6.310204044251980093e+01
6.309573444801930275e-01 3.429697426985652697e+01 6.539232056275041316e+01
8.458098281751329495e-01 3.444151147808842950e+01 6.002335223003460385e+01
1.133823501217848584e+00 4.373237158831917526e+01 6.625812806413001965e+01
1.519911082952933201e+00 5.519604781683179340e+01 6.839524827039849697e+01
2.037468528039706239e+00 5.800656642459431112e+01 7.194639530715096498e+01
2.731263722800843841e+00 8.054263697165126246e+01 6.560534821882629331e+01
3.661308835364032621e+00 8.738765086535357796e+01 6.368067542427827732e+01
4.908051271653850911e+00 1.072240541244518113e+02 6.290810977040429464e+01
6.579332246575675391e+00 1.223255768421144296e+02 6.456720962909545847e+01
8.819714875603569482e+00 1.781501072396670509e+02 5.938340950606373525e+01
1.182298865168706214e+01 1.656575781336685793e+02 5.288229437753459194e+01
1.584893192461110978e+01 1.577756624277242281e+02 5.128950445865140040e+01
2.124578231030567466e+01 1.910639204634918826e+02 4.522564597669519770e+01
2.848035868435799145e+01 1.476193422974204452e+02 4.357756564253233478e+01
3.817844026370499932e+01 1.540952898116688345e+02 3.530782081561692820e+01
5.117889550210738037e+01 1.073556358114624345e+02 3.435719956872107161e+01
6.860624286177781528e+01 9.978350112144752870e+01 3.391258285275199569e+01
9.196791985117044987e+01 1.034081700095115224e+02 3.221327336883236825e+01
1.232846739442063324e+02 9.929523139711473334e+01 3.953220533264843795e+01
1.652653539856687814e+02 9.039836765103117955e+01 4.223317286887616717e+01
2.215412212581180427e+02 8.859966766857863263e+01 4.391925530669092126e+01
2.969800477406444088e+02 9.029293023651847250e+01 4.470704832396585005e+01
3.981071705534969283e+02 8.368428794931672599e+01 4.147966066568626076e+01
5.336699231206301874e+02 9.269426278920636264e+01 4.438494358043885768e+01
7.153942654376478458e+02 9.605861386422459702e+01 4.424444143889136427e+01
9.589990607459969851e+02 1.115084873939951535e+02 4.283281632236430170e+01
1.285555731913900445e+03 1.035864679986044905e+02 4.450953831281011475e+01
1.723310905613504701e+03 8.316993743968914998e+01 4.625490636614907913e+01
2.310129700083158241e+03 1.041412729136260111e+02 5.030270384896652303e+01
3.096770996935348194e+03 9.619405968430594100e+01 4.551087045974687584e+01
4.151278002752286739e+03 9.336243887778833539e+01 4.576359150525863129e+01
5.564863876983288719e+03 1.062116343769283446e+02 4.479304130595516398e+01
7.459801523487925806e+03 1.114961550141512134e+02 3.978703202000140493e+01
1.000000000000000000e+04 1.095297978826333036e+02 4.492742274555905624e+01
