Frequency(Hz)	ApparentResistivity(Ohm.m)	Phase(deg)
1.000000000000000021e-03 8.520900872140963429e+02 3.722735358358642799e+01
1.340518238791474186e-03 7.732297014231354524e+02 3.793272645661041764e+01
1.796989148532593915e-03 8.047660847358104093e+02 3.891198416186902165e+01
2.408896728518303623e-03 8.389588518419924412e+02 3.966780270212957049e+01
3.229169999943896831e-03 6.724012129221326859e+02 3.467301072605187073e+01
4.328761281083057418e-03 6.351204786175784420e+02 3.442204716760679162e+01
5.802783448666185527e-03 7.116118328186986446e+02 3.083606126658029112e+01
7.778737048694302908e-03 6.131093505820171004e+02 2.920397723965378134e+01
1.042753888853767755e-02 4.985777879373359838e+02 3.354223537395456844e+01
1.397830606579212459e-02 5.041696289882712563e+02 3.354211674029033929e+01
1.873817422860383011e-02 4.094842621516263534e+02 2.812544788821838537e+01
2.511886431509579437e-02 3.660539968561762407e+02 2.984312052148063188e+01
3.367229575211420911e-02 3.457018323161732383e+02 2.651828516887431064e+01
4.513832659768975131e-02 2.407239245749651673e+02 2.211060242388915142e+01
6.050875007272941974e-02 2.115103478721059957e+02 2.405653685045126622e+01
8.111308307896868131e-02 2.050400491253736277e+02 2.638218676588918399e+01
1.087335672719655644e-01 1.639409160070619009e+02 2.090848253485587449e+01
1.457593300969295680e-01 1.577233132895306369e+02 2.487299790636503616e+01
1.953930404689609157e-01 1.170113723456317842e+02 1.248127312386809962e+01
2.619279344815627075e-01 8.998084910796755764e+01 2.311886873966539824e+01
3.511191734215127203e-01 9.860170389872524765e+01 2.168551776489673344e+01
4.706816559609244277e-01 6.907377088034999701e+01 2.214393690941443538e+01
6.309573444801930275e-01 5.922907770015882534e+01 2.563708185110823834e+01
8.458098281751329495e-01 4.351846915667429272e+01 2.253012595098518034e+01
1.133823501217848584e+00 4.122862896775140484e+01 3.216585316439752518e+01
1.519911082952933201e+00 4.017264609083741078e+01 3.879296751987815384e+01
2.037468528039706239e+00 3.419900111901320372e+01 4.769227795008995230e+01
2.731263722800843841e+00 4.073441028188129565e+01 4.715940088655172246e+01
3.661308835364032621e+00 4.020215162482912064e+01 5.104240366660434347e+01
4.908051271653850911e+00 4.728909995457291160e+01 5.569721746923815431e+01
6.579332246575675391e+00 5.396896231391072973e+01 6.219187241289841239e+01
8.819714875603569482e+00 8.126272065112709697e+01 6.120348573591652297e+01
1.182298865168706214e+01 8.022058644387644222e+01 5.830740949859938382e+01
1.584893192461110978e+01 8.309018314419266460e+01 5.978775059170780537e+01
2.124578231030567466e+01 1.122044445000023813e+02 5.622689769153692652e+01
2.848035868435799145e+01 9.914884823409143166e+01 5.629069727430358938e+01
3.817844026370499932e+01 1.205341844756118093e+02 4.858200212616577573e+01
5.117889550210738037e+01 9.779117111860256273e+01 4.677441221483984179e+01
6.860624286177781528e+01 1.033315187868672211e+02 4.412783618856086321e+01
9.196791985117044987e+01 1.164831310086395177e+02 3.933512307469377589e+01
1.232846739442063324e+02 1.153518859413868682e+02 4.336057825563779744e+01
1.652653539856687814e+02 1.031800032528837647e+02 4.330674548040142469e+01
2.215412212581180427e+02 9.646399026230584184e+01 4.332062006633312734e+01
2.969800477406444088e+02 9.346976784251179993e+01 4.361741082876704212e+01
3.981071705534969283e+02 8.382058746198620724e+01 4.069335247566365155e+01
5.336699231206301874e+02 9.188965391179817743e+01 4.409975328958390151e+01
7.153942654376478458e+02 9.551766553676277738e+01 4.425108278832459519e+01
9.589990607459969851e+02 1.113938390039016468e+02 4.288574324681499661e+01
1.285555731913900445e+03 1.036299966065678291e+02 4.452505369686212333e+01
1.723310905613504701e+03 8.318441024474699930e+01 4.625266003110210278e+01
2.310129700083158241e+03 1.041395346698444797e+02 5.030150078360450294e+01
3.096770996935348194e+03 9.619332749722667586e+01 4.551100451109962819e+01
4.151278002752286739e+03 9.336254872247015157e+01 4.576361472247789663e+01
5.564863876983288719e+03 1.062116328353409216e+02 4.479303626796647819e+01
7.459801523487925806e+03 1.114961541589064637e+02 3.978703241963795278e+01
1.000000000000000000e+04 1.095297979559851029e+02 4.492742272485142507e+01
