Frequency(Hz)	ApparentResistivity(Ohm.m)	Phase(deg)
1.000000000000000021e-03 7.034870235433550079e+02 3.305560676189600144e+01
1.340518238791474186e-03 6.208194747867387377e+02 3.332761693247685741e+01
1.796989148532593915e-03 6.262357402552936492e+02 3.386311574926043733e+01
2.408896728518303623e-03 6.304857323944393102e+02 3.417454643677986326e+01
3.229169999943896831e-03 4.862389607269738008e+02 2.874675624115362282e+01
4.328761281083057418e-03 4.403481972518464431e+02 2.808820751109658431e+01
5.802783448666185527e-03 4.714148790489234102e+02 2.413557314245423768e+01
7.778737048694302908e-03 3.868591208280764135e+02 2.219404423476228061e+01
1.042753888853767755e-02 2.988397290676826401e+02 2.629612424371031665e+01
1.397830606579212459e-02 2.864661815700263219e+02 2.614794250417491739e+01
1.873817422860383011e-02 2.202647480490191469e+02 2.068406180051208310e+01
2.511886431509579437e-02 1.863120869743406161e+02 2.246541688970821582e+01
3.367229575211420911e-02 1.665475844625573529e+02 1.932242637334552171e+01
4.513832659768975131e-02 1.099066689036666276e+02 1.521978268285843683e+01
6.050875007272941974e-02 9.170449753534040838e+01 1.759793115787921280e+01
8.111308307896868131e-02 8.465951857048297313e+01 2.048764361949164581e+01
1.087335672719655644e-01 6.469246988236386642e+01 1.571730158349169493e+01
1.457593300969295680e-01 5.974373356367905075e+01 2.053673705541982031e+01
1.953930404689609157e-01 4.277498235027237428e+01 9.169807456932536738e+00
2.619279344815627075e-01 3.196179586497817482e+01 2.102554886281882673e+01
3.511191734215127203e-01 3.433825612275454375e+01 2.102671045634466296e+01
4.706816559609244277e-01 2.387336161085131181e+01 2.314406238017323503e+01
6.309573444801930275e-01 2.065521950692542319e+01 2.848573774844076922e+01
8.458098281751329495e-01 1.564298101430204291e+01 2.729959080731203969e+01
1.133823501217848584e+00 1.565089157335493475e+01 3.869943618052185030e+01
1.519911082952933201e+00 1.646400415395670436e+01 4.662387986871894441e+01
2.037468528039706239e+00 1.532112656206632906e+01 5.608648910172762214e+01
2.731263722800843841e+00 1.990397202550566291e+01 5.531403350451413559e+01
3.661308835364032621e+00 2.108360863498305093e+01 5.833960614295259006e+01
4.908051271653850911e+00 2.598314362131241140e+01 6.187742912820988295e+01
6.579332246575675391e+00 3.030126817577729881e+01 6.741019594870138576e+01
8.819714875603569482e+00 4.576016316716384580e+01 6.600329737432298316e+01
1.182298865168706214e+01 4.507514988837066738e+01 6.349679104133022634e+01
1.584893192461110978e+01 4.719476985273558967e+01 6.616621452929375380e+01
2.124578231030567466e+01 6.621703915371999472e+01 6.424612617223917255e+01
2.848035868435799145e+01 6.267674034441933628e+01 6.590095327085076349e+01
3.817844026370499932e+01 8.360051285841699098e+01 5.936108225676729688e+01
5.117889550210738037e+01 7.561847265731863388e+01 5.810241078448988361e+01
6.860624286177781528e+01 8.982838792710509779e+01 5.520913319878673775e+01
9.196791985117044987e+01 1.134095915526615528e+02 4.921000352389471999e+01
1.232846739442063324e+02 1.231568290087083284e+02 5.109680443408237949e+01
1.652653539856687814e+02 1.163811996278761569e+02 4.830853097665340101e+01
2.215412212581180427e+02 1.099173236287765718e+02 4.558165417629682281e+01
2.969800477406444088e+02 1.035436046954375655e+02 4.377697575574762112e+01
3.981071705534969283e+02 8.860719721743552668e+01 3.980181711162829572e+01
5.336699231206301874e+02 9.321502903939502005e+01 4.315029629830280555e+01
7.153942654376478458e+02 9.492482760079060711e+01 4.375373675353132796e+01
9.589990607459969851e+02 1.105260644542111521e+02 4.280164959262442181e+01
1.285555731913900445e+03 1.033567745840832117e+02 4.458149846294021046e+01
1.723310905613504701e+03 8.320487054505306901e+01 4.628359953458156895e+01
2.310129700083158241e+03 1.041718145083527531e+02 5.030164457991688209e+01
3.096770996935348194e+03 9.619367527310305377e+01 4.550899624942433519e+01
4.151278002752286739e+03 9.336139900427552618e+01 4.576366798617358711e+01
5.564863876983288719e+03 1.062117364335996967e+02 4.479307501128412383e+01
7.459801523487925806e+03 1.114961569319668513e+02 3.978702785318250079e+01
1.000000000000000000e+04 1.095297973226156643e+02 4.492742298383590338e+01
